Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
game-sm-success_1-1,2.0768697288662917e-4,2.0579303442310598e-4,2.1070370483875205e-4,9.938253161070392e-6,6.576736626120399e-6,1.5120030059070475e-5
game-sm-success_1-2,9.773161131463418e-5,9.735669501443787e-5,9.819928672515816e-5,1.7450497821848903e-6,1.3730290541437074e-6,2.2555174714201667e-6
game-sm-success_1-3,3.235803796419019e-4,3.204017993451369e-4,3.344818552048735e-4,2.153796951725034e-5,1.0818515491813398e-5,4.366444492028374e-5
game-sm-success_1-4,1.1475314411518898e-4,1.133980540972894e-4,1.1758905351827926e-4,8.069962150303621e-6,4.937475466627549e-6,1.4332205704190573e-5
game-sm-success_2-1,2.0183158400531148e-4,2.008273397645976e-4,2.0297020140563858e-4,4.411875676000288e-6,3.815533493073949e-6,5.434227015015651e-6
game-sm-success_2-2,9.771611146128009e-5,9.722522215647759e-5,9.938247685639347e-5,3.359373885415949e-6,1.3204203922657858e-6,6.754438486633237e-6
game-sm-success_2-3,3.2514022012485126e-4,3.233142368928967e-4,3.2757567487183873e-4,8.750873709645762e-6,6.556675621950691e-6,1.1842483455382143e-5
game-sm-success_2-4,1.1431954049347505e-4,1.1349605083844204e-4,1.1570011159523747e-4,4.548402248051198e-6,3.1419764142671812e-6,7.413994858459516e-6
game-sm-success_2-5,3.2912059858674367e-4,3.2653940571152556e-4,3.337248509631e-4,1.4367565140347846e-5,9.863998359471015e-6,2.381533857503231e-5
game-sm-success_2-6,1.1667367928547027e-4,1.1378514844850137e-4,1.219158401473576e-4,1.5550934574074168e-5,1.010892633829275e-5,2.178306690444849e-5
guardrail-sorted-large,2.2077833469250812e-4,2.188424110510356e-4,2.252621460235691e-4,1.1776204898863854e-5,6.514172382390051e-6,2.2003906763394005e-5
guardrail-sorted-small,3.317235306457024e-5,3.2970202420268736e-5,3.347194526554456e-5,1.0701479263563255e-6,8.366818630290553e-7,1.6039755351916985e-6
guardrail-unsorted-large,2.953413475749626e-4,2.9410575709344275e-4,2.9703131840702184e-4,5.723577178263081e-6,4.067439475109623e-6,8.246802930757408e-6
guardrail-unsorted-small,3.3643564188749196e-5,3.343140259746136e-5,3.3986422342115785e-5,1.121054917528095e-6,6.934798407254508e-7,1.6511329578520107e-6
multisig-sm-01,2.0301588458311758e-4,2.0264038813820197e-4,2.0345036371705646e-4,1.783034415733306e-6,1.3818610939553594e-6,2.356057730121328e-6
multisig-sm-02,2.0232748897811047e-4,2.0127477855736076e-4,2.0386466712114663e-4,5.369852607863248e-6,4.096202156529687e-6,7.159673584990851e-6
multisig-sm-03,2.0396614488907516e-4,2.0280293426271835e-4,2.0542212330780757e-4,5.6667892966969716e-6,4.68565273312922e-6,7.064501056462933e-6
multisig-sm-04,2.0948153171927085e-4,2.0833915239633339e-4,2.107228747547612e-4,5.136816491802707e-6,4.421753499259899e-6,6.260704201193711e-6
multisig-sm-05,2.8989823690652155e-4,2.8876546444274475e-4,2.913181118014716e-4,5.525672185338378e-6,4.7868403752362655e-6,6.811561045315229e-6
multisig-sm-06,2.1030728020180825e-4,2.086481296919484e-4,2.1339834397568879e-4,9.327649527181913e-6,5.662231366146666e-6,1.6442021380319454e-5
multisig-sm-07,2.0257354912789558e-4,2.016921432425869e-4,2.0370970808473415e-4,4.287744028352364e-6,3.4464196681699656e-6,5.567130664206519e-6
multisig-sm-08,2.015849745955229e-4,1.9984006568440107e-4,2.0650321151773095e-4,1.1739472662222456e-5,3.875700488123311e-6,2.6347385911329724e-5
multisig-sm-09,2.0840145775396075e-4,2.0451945147865176e-4,2.154128047971407e-4,2.3247380468856388e-5,1.480756005920302e-5,3.277569665430425e-5
multisig-sm-10,2.8682533859846425e-4,2.8558502880437066e-4,2.885271158773943e-4,6.282779651897586e-6,4.319326617812123e-6,8.190572005464468e-6
ping-pong-1,1.6769179385199708e-4,1.6728322660036144e-4,1.681447255193357e-4,1.8398981140630511e-6,1.5289910830860097e-6,2.4194253003723527e-6
ping-pong-2,1.7037242532116575e-4,1.6845265382571103e-4,1.7355262617169573e-4,1.0363173334052238e-5,5.442997671943671e-6,1.545789182714548e-5
ping-pong_2-1,1.0406410512822072e-4,1.0347509212305203e-4,1.0531631694084308e-4,3.515769016902686e-6,1.857766896148125e-6,6.310043961129653e-6
prism-1,8.176766980986253e-5,8.113006724147167e-5,8.316760676717104e-5,4.002622594182497e-6,2.253358045949652e-6,6.4095000695130855e-6
prism-2,2.1187357418803635e-4,2.1055298639336667e-4,2.1348082488025234e-4,6.156727558837163e-6,4.673861562748421e-6,8.26884954033146e-6
prism-3,1.855055706484151e-4,1.849276308517293e-4,1.8641026067691522e-4,3.2517868841826773e-6,2.3633231690200835e-6,4.5266175516025045e-6
pubkey-1,7.154650455406239e-5,7.087666768772876e-5,7.305290443017404e-5,4.0031871345419564e-6,2.097836563691703e-6,6.872481507721041e-6
stablecoin_1-1,5.092336033604487e-4,5.058277267884226e-4,5.190557239833589e-4,2.33223404065822e-5,1.0236283446119128e-5,4.66578344504912e-5
stablecoin_1-2,9.635451760821294e-5,9.598596972604456e-5,9.687772322237603e-5,1.8677092775009243e-6,1.481169229629053e-6,2.4443823598398784e-6
stablecoin_1-3,5.720513147461972e-4,5.693707332026375e-4,5.773781451028767e-4,1.546841733853234e-5,1.0641542827353254e-5,2.365745946262014e-5
stablecoin_1-4,1.0442781177608012e-4,1.0293347057388925e-4,1.0751926129043994e-4,9.310998883540912e-6,4.652094287999448e-6,1.491538175184146e-5
stablecoin_1-5,7.249979989275577e-4,7.20358208488276e-4,7.329757117208165e-4,2.6030969453278996e-5,1.8375965636367406e-5,3.9604115834239873e-5
stablecoin_1-6,1.2635952971893935e-4,1.2555790313281817e-4,1.2821866701835967e-4,5.099953115237326e-6,2.8876294177768215e-6,9.25398620249287e-6
stablecoin_2-1,5.29900435406015e-4,5.170335632464803e-4,5.509463654069213e-4,6.866080336708177e-5,4.920133249928984e-5,9.212657279792913e-5
stablecoin_2-2,9.702328119196301e-5,9.609320019285265e-5,1.0043230513894939e-4,6.1300071334937526e-6,1.0351470467002568e-6,1.3490651559727232e-5
stablecoin_2-3,6.201066062049022e-4,6.007323794237068e-4,6.470092897752376e-4,9.631116975186395e-5,7.560256313537591e-5,1.1529475072632415e-4
stablecoin_2-4,1.0365991243510287e-4,1.0318919286990922e-4,1.0415060681185944e-4,2.175308516104466e-6,1.9302260460131307e-6,2.5783365250953583e-6
token-account-1,9.576167002606162e-5,9.497934444968725e-5,9.806003957502906e-5,4.8059941755595025e-6,1.7622400566637755e-6,9.567684306244592e-6
token-account-2,1.6714291740394993e-4,1.660935074352023e-4,1.6956696532568577e-4,6.627922787940066e-6,3.5664386051862338e-6,1.1078314846232915e-5
uniswap-1,2.0433206387532804e-4,2.0264870860607775e-4,2.0732737642387304e-4,9.486053116311016e-6,4.498099999496359e-6,1.5690923333500458e-5
uniswap-2,1.1020081657905025e-4,1.0960228857910096e-4,1.1103548132677647e-4,2.9437588542774335e-6,2.333675442140972e-6,3.788805650811676e-6
uniswap-3,8.832726698577803e-4,8.78676584368353e-4,8.887191375324342e-4,2.1760855976586783e-5,1.6730241803114574e-5,2.8827055968924055e-5
uniswap-4,1.6251362201085082e-4,1.6180123953242657e-4,1.6425457817243326e-4,4.726710613875908e-6,3.0062951918189224e-6,8.624466707563901e-6
uniswap-5,5.882688400871212e-4,5.859407549197248e-4,5.910680465987705e-4,1.1069916959677254e-5,9.43159993984678e-6,1.3704281370815468e-5
uniswap-6,1.5585277243234958e-4,1.550492009945085e-4,1.5701034400734582e-4,4.201436320612159e-6,3.3200007462521765e-6,6.31397930918431e-6
vesting-1,1.8072378208922667e-4,1.7999390577673355e-4,1.8180773914418447e-4,3.832807811922031e-6,3.198151749789939e-6,4.753422291445522e-6
